Checking process _RECO /eos/cms/store/user/cmsbuild/profiling/data/CMSSW_11_3_0_pre3/slc7_amd64_gcc900/23434.21/step3.root.unused and /eos/cms/store/user/cmsbuild/profiling/data/CMSSW_11_3_0_pre4/slc7_amd64_gcc900/23434.21/step3.root.unused (if above 100 or 20%):
        oldB     newB  deltaB  delta% deltaJ%                                                                                                                                                                                                                                                            name
207  667      667      0       0.0      0.00   l1tMuonBXVector_gmtStage2Digis_MuonCopy1_RECO.                                                                                                                                                                                                                
208  651      651      0       0.0      0.00   l1tMuonBXVector_gtStage2Digis_Muon4_RECO.                                                                                                                                                                                                                     
209  651      651      0       0.0      0.00   l1tMuonBXVector_gtStage2Digis_Muon3_RECO.                                                                                                                                                                                                                     
210  651      651      0       0.0      0.00   l1tMuonBXVector_gtStage2Digis_Muon5_RECO.                                                                                                                                                                                                                     
211  651      651      0       0.0      0.00   l1tMuonBXVector_gtStage2Digis_Muon2_RECO.                                                                                                                                                                                                                     
212  651      651      0       0.0      0.00   l1tMuonBXVector_gtStage2Digis_Muon6_RECO.                                                                                                                                                                                                                     
213  649      642     -7      -1.0     -0.00   recoPFJets_ak8PFJetsPuppi__RECO.                                                                                                                                                                                                                              
214  632      632      0       0.0      0.00   l1tEGammaBXVector_caloStage2Digis_EGamma_RECO.                                                                                                                                                                                                                
215  627      627      0       0.0      0.00   l1tEGammaBXVector_gtStage2Digis_EGamma_RECO.                                                                                                                                                                                                                  
216  626      624     -2      -0.3     -0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfGhostTrackBJetTags__RECO.                                                                                                                                                                                  
217  625      626      2       0.3      0.00   recoDeDxHitInfosedmAssociation_dedxHitInfo__RECO.                                                                                                                                                                                                             
218  608      609      1       0.1      0.00   recoTrackExtrasedmAssociation_muonReducedTrackExtras__RECO.                                                                                                                                                                                                   
219  606      606      0       0.0      0.00   TCDSRecord_tcdsDigis_tcdsRecord_RECO.                                                                                                                                                                                                                         
220  598      598      0      -0.1     -0.00   l1tTauBXVector_caloStage2Digis_Tau_RECO.                                                                                                                                                                                                                      
221  593      593      0      -0.1     -0.00   l1tTauBXVector_gtStage2Digis_Tau_RECO.                                                                                                                                                                                                                        
222  583      583      0       0.1      0.00   l1tJetBXVector_caloStage2Digis_Jet_RECO.                                                                                                                                                                                                                      
223  581      590      9       1.5      0.00   recoMuonCosmicCompatibilityedmValueMap_muons_cosmicsVeto_RECO.                                                                                                                                                                                                
224  578      579      0       0.1      0.00   l1tJetBXVector_gtStage2Digis_Jet_RECO.                                                                                                                                                                                                                        
225  563      561     -2      -0.4     -0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfCombinedInclusiveSecondaryVertexV2BJetTags__RECO.                                                                                                                                                          
226  560      559     -1      -0.3     -0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfCombinedSecondaryVertexV2BJetTags__RECO.                                                                                                                                                                   
227  558      553     -5      -1.0     -0.00   recoMuonTimeExtraedmValueMap_muons_dt_RECO.                                                                                                                                                                                                                   
228  557      558      1       0.2      0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfChargeBJetTags__RECO.                                                                                                                                                                                      
229  543      538     -5      -0.9     -0.00   recoTracks_cosmicMuons1Leg__RECO.                                                                                                                                                                                                                             
230  543      535     -9      -1.6     -0.00   recoPFJets_ak8PFJetsPuppiSoftDrop_SubJets_RECO.                                                                                                                                                                                                               
231  537      536     -1      -0.2     -0.00   recoCSCHaloData_CSCHaloData__RECO.                                                                                                                                                                                                                            
232  520      520      0       0.0      0.00   l1tEGammaBXVector_gtStage2Digis_EGamma2_RECO.                                                                                                                                                                                                                 
233  520      520      0       0.0      0.00   l1tEGammaBXVector_gtStage2Digis_EGamma4_RECO.                                                                                                                                                                                                                 
234  520      520      0       0.0      0.00   l1tEGammaBXVector_gtStage2Digis_EGamma6_RECO.                                                                                                                                                                                                                 
235  520      520      0       0.0      0.00   l1tEGammaBXVector_gtStage2Digis_EGamma5_RECO.                                                                                                                                                                                                                 
236  520      520      0       0.0      0.00   l1tEGammaBXVector_gtStage2Digis_EGamma3_RECO.                                                                                                                                                                                                                 
237  513      513      0       0.0      0.00   l1tEGammaBXVector_caloStage2Digis_MP_RECO.                                                                                                                                                                                                                    
238  513      513      0       0.0      0.00   Level1TriggerScalerss_scalersRawToDigi__RECO.                                                                                                                                                                                                                 
239  509      492     -17     -3.4     -0.00   doubleedmValueMap_muons_muPFMeanDRIsoValueNeutral04_RECO.                                                                                                                                                                                                     
240  507      490     -17     -3.5     -0.00   doubleedmValueMap_muons_muPFSumDRIsoValueNeutral04_RECO.                                                                                                                                                                                                      
241  495      491     -3      -0.7     -0.00   booledmValueMap_chargedHadronPFTrackIsolation__RECO.                                                                                                                                                                                                          
242  493      488     -5      -1.0     -0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfCombinedCvsLJetTags__RECO.                                                                                                                                                                                 
243  485      485      0       0.0      0.00   l1tCaloTowerBXVector_caloStage2Digis_CaloTower_RECO.                                                                                                                                                                                                          
244  485      485      0       0.0      0.00   l1tTauBXVector_gtStage2Digis_Tau6_RECO.                                                                                                                                                                                                                       
245  485      485      0       0.0      0.00   l1tTauBXVector_gtStage2Digis_Tau2_RECO.                                                                                                                                                                                                                       
246  485      485      0       0.0      0.00   l1tTauBXVector_gtStage2Digis_Tau5_RECO.                                                                                                                                                                                                                       
247  485      485      0       0.0      0.00   l1tTauBXVector_caloStage2Digis_MP_RECO.                                                                                                                                                                                                                       
248  485      485      0       0.0      0.00   l1tTauBXVector_gtStage2Digis_Tau3_RECO.                                                                                                                                                                                                                       
249  485      485      0       0.0      0.00   l1tTauBXVector_gtStage2Digis_Tau4_RECO.                                                                                                                                                                                                                       
250  481      480      0      -0.1     -0.00   recoCaloMETs_caloMetBEFO__RECO.                                                                                                                                                                                                                               
251  480      480      0      -0.0     -0.00   recoCaloMETs_caloMetM__RECO.                                                                                                                                                                                                                                  
252  474      474      0      -0.1     -0.00   l1tEtSumBXVector_gtStage2Digis_EtSum_RECO.                                                                                                                                                                                                                    
253  473      472     -1      -0.1     -0.00   recoCaloMETs_caloMet__RECO.                                                                                                                                                                                                                                   
254  469      457     -12     -2.6     -0.00   l1tRegionalMuonCandBXVector_gmtStage2Digis_EMTF_RECO.                                                                                                                                                                                                         
255  468      468      0       0.0      0.00   l1tJetBXVector_gtStage2Digis_Jet5_RECO.                                                                                                                                                                                                                       
256  468      468      0       0.0      0.00   l1tJetBXVector_gtStage2Digis_Jet4_RECO.                                                                                                                                                                                                                       
257  468      468      0       0.0      0.00   l1tJetBXVector_gtStage2Digis_Jet6_RECO.                                                                                                                                                                                                                       
258  468      468      0       0.0      0.00   l1tJetBXVector_gtStage2Digis_Jet3_RECO.                                                                                                                                                                                                                       
259  468      468      0       0.0      0.00   l1tJetBXVector_caloStage2Digis_MP_RECO.                                                                                                                                                                                                                       
260  468      468      0       0.0      0.00   l1tJetBXVector_gtStage2Digis_Jet2_RECO.                                                                                                                                                                                                                       
261  466      466     -1      -0.1     -0.00   l1tEtSumBXVector_caloStage2Digis_EtSum_RECO.                                                                                                                                                                                                                  
262  463      463      0       0.0      0.00   TotemVFATStatusedmDetSetVector_totemRPRawToDigi_TrackingStrip_RECO.                                                                                                                                                                                           
263  460      378     -82     -19.5    -0.00   recoPhotonCores_photonCoreFromMultiCl__RECO.                                                                                                                                                                                                                  
264  458      459      0       0.0      0.00   HcalUnpackerReport_hcalDigis__RECO.                                                                                                                                                                                                                           
265  456      459      2       0.5      0.00   floatedmValueMap_offlinePrimaryVertices4D__RECO.                                                                                                                                                                                                              
266  455      467      13      2.7      0.00   floatedmValueMap_offlinePrimaryVerticesWithBS__RECO.                                                                                                                                                                                                          
267  455      465      9       2.0      0.00   floatedmValueMap_offlinePrimaryVertices__RECO.                                                                                                                                                                                                                
268  454      452     -2      -0.5     -0.00   recoCaloJets_JetPlusTrackZSPCorJetAntiKt4__RECO.                                                                                                                                                                                                              
269  450      444     -6      -1.3     -0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfCombinedCvsBJetTags__RECO.                                                                                                                                                                                 
270  447      447      0       0.0      0.00   recoCaloMETs_caloMetBE__RECO.                                                                                                                                                                                                                                 
271  446      455      10      2.1      0.00   floatedmValueMap_offlinePrimaryVertices4DWithBS__RECO.                                                                                                                                                                                                        
272  444      438     -6      -1.3     -0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfJetBProbabilityBJetTags__RECO.                                                                                                                                                                             
273  442      400     -42     -10.1    -0.00   recoTrackExtras_displacedGlobalMuons__RECO.                                                                                                                                                                                                                   
274  426      447      21      4.8      0.00   recoConversions_conversions__RECO.                                                                                                                                                                                                                            
275  418      401     -17     -4.1     -0.00   doubleedmValueMap_muons_muPFMeanDRIsoValueNeutralHighThreshold04_RECO.                                                                                                                                                                                        
276  417      412     -5      -1.1     -0.00   GlobalAlgBlkBXVector_gtStage2Digis__RECO.                                                                                                                                                                                                                     
277  417      400     -17     -4.1     -0.00   doubleedmValueMap_muons_muPFSumDRIsoValueNeutralHighThreshold04_RECO.                                                                                                                                                                                         
278  411      421      10      2.4      0.00   floatedmValueMap_offlinePrimaryVertices4DnoPID__RECO.                                                                                                                                                                                                         
279  409      428      19      4.6      0.00   recoTracks_ckfOutInTracksFromConversions__RECO.                                                                                                                                                                                                               
280  409      409      0       0.1      0.00   floats_hgcalLayerClusters_InitialLayerClustersMask_RECO.                                                                                                                                                                                                      
281  408      404     -4      -0.9     -0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfCombinedMVAV2BJetTags__RECO.                                                                                                                                                                               
282  407      407      0      -0.0     -0.00   floatedmValueMap_offlinePrimaryVertices4DnoPIDWithBS__RECO.                                                                                                                                                                                                   
283  401      398     -3      -0.8     -0.00   l1tRegionalMuonCandBXVector_gmtStage2Digis_BMTF_RECO.                                                                                                                                                                                                         
284  396      396      0       0.0      0.00   LumiScalerss_scalersRawToDigi__RECO.                                                                                                                                                                                                                          
285  391      391      0       0.0      0.00   l1tEtSumBXVector_gtStage2Digis_EtSum3_RECO.                                                                                                                                                                                                                   
286  391      391      0       0.0      0.00   l1tEtSumBXVector_gtStage2Digis_EtSum5_RECO.                                                                                                                                                                                                                   
287  391      391      0       0.0      0.00   l1tEtSumBXVector_gtStage2Digis_EtSum6_RECO.                                                                                                                                                                                                                   
288  391      391      0       0.0      0.00   l1tEtSumBXVector_gtStage2Digis_EtSum4_RECO.                                                                                                                                                                                                                   
289  391      391      0       0.0      0.00   l1tEtSumBXVector_gtStage2Digis_EtSum2_RECO.                                                                                                                                                                                                                   
290  387      387      0       0.0      0.00   l1tEtSumBXVector_caloStage2Digis_MP_RECO.                                                                                                                                                                                                                     
291  386      388      2       0.5      0.00   l1tRegionalMuonCandBXVector_gmtStage2Digis_OMTF_RECO.                                                                                                                                                                                                         
292  382      361     -21     -5.6     -0.00   recoTracks_displacedTracks__RECO.                                                                                                                                                                                                                             
293  374      369     -4      -1.2     -0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfDeepCSVJetTags_probbb_RECO.                                                                                                                                                                                
294  374      368     -6      -1.5     -0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfDeepCMVAJetTags_probbb_RECO.                                                                                                                                                                               
295  372      366     -6      -1.6     -0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfDeepCSVJetTags_probb_RECO.                                                                                                                                                                                 
296  371      371      0       0.0      0.00   L1TriggerScalerss_scalersRawToDigi__RECO.                                                                                                                                                                                                                     
297  370      364     -5      -1.4     -0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfDeepCMVAJetTags_probcc_RECO.                                                                                                                                                                               
298  370      365     -5      -1.4     -0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfDeepCMVAJetTags_probudsg_RECO.                                                                                                                                                                             
299  370      365     -5      -1.4     -0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfDeepCMVAJetTags_probb_RECO.                                                                                                                                                                                
300  366      364     -2      -0.7     -0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfDeepCSVJetTags_probc_RECO.                                                                                                                                                                                 
301  366      361     -5      -1.4     -0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfDeepCMVAJetTags_probc_RECO.                                                                                                                                                                                
302  363      364      1       0.3      0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfDeepCSVJetTags_probudsg_RECO.                                                                                                                                                                              
303  362      370      8       2.2      0.00   recoConversions_gsfTracksOpenConversions_gsfTracksOpenConversions_RECO.                                                                                                                                                                                       
304  355      343     -12     -3.4     -0.00   recoTracks_displacedGlobalMuons__RECO.                                                                                                                                                                                                                        
305  347      350      3       0.8      0.00   recoTracks_uncleanedOnlyCkfOutInTracksFromConversions__RECO.                                                                                                                                                                                                  
306  345      341     -4      -1.2     -0.00   recoSuperClusters_particleFlowSuperClusterOOTECAL_particleFlowSuperClusterOOTECALBarrel_RECO.                                                                                                                                                                 
307  345      346      1       0.2      0.00   recoSuperClusters_hybridSuperClusters_uncleanOnlyHybridSuperClusters_RECO.                                                                                                                                                                                    
308  343      343      0       0.0      0.00   recoTracks_uncleanedOnlyCkfInOutTracksFromConversions__RECO.                                                                                                                                                                                                  
309  343      343      0       0.0      0.00   recoSuperClusters_particleFlowSuperClusterOOTECAL_particleFlowSuperClusterOOTECALEndcapWithPreshower_RECO.                                                                                                                                                    
310  339      335     -3      -1.0     -0.00   recoConversions_particleFlowEGamma__RECO.                                                                                                                                                                                                                     
311  338      341      3       1.0      0.00   recoGenParticlesedmAssociation_muonSimClassifier_toSecondaries_RECO.                                                                                                                                                                                          
312  337      324     -13     -4.0     -0.00   doubleedmValueMap_muons_muPFMeanDRIsoValueNeutral03_RECO.                                                                                                                                                                                                     
313  336      323     -13     -3.9     -0.00   doubleedmValueMap_muons_muPFSumDRIsoValueNeutral03_RECO.                                                                                                                                                                                                      
314  335      335      0       0.0      0.00   recoSuperClusters_particleFlowSuperClusterECAL_particleFlowSuperClusterECALEndcapWithPreshower_RECO.                                                                                                                                                          
315  333      326     -6      -1.9     -0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfTrackCountingHighEffBJetTags__RECO.                                                                                                                                                                        
316  328      327     -1      -0.3     -0.00   recoPFMETs_pfMetPuppi__RECO.                                                                                                                                                                                                                                  
317  326      326      0      -0.0     -0.00   floats_generalTracks_MVAValues_RECO.                                                                                                                                                                                                                          
318  322      322      0       0.0      0.00   recoPFMETs_pfMet__RECO.                                                                                                                                                                                                                                       
319  312      311     -1      -0.2     -0.00   recoPFMETs_pfChMet__RECO.                                                                                                                                                                                                                                     
320  308      308      0       0.0      0.00   recoTracks_conversionStepTracks__RECO.                                                                                                                                                                                                                        
321  294      294      0       0.0      0.00   recoSuperClusters_correctedMulti5x5SuperClustersWithPreshower__RECO.                                                                                                                                                                                          
322  285      281     -4      -1.4     -0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfJetProbabilityBJetTags__RECO.                                                                                                                                                                              
323  278      278     -1      -0.2     -0.00   recoPFTausedmRefProdrecoPFTauTransverseImpactParametersrecoPFTauTransverseImpactParameterrecoPFTauTransverseImpactParametersTorecoPFTauTransverseImpactParameteredmrefhelperFindUsingAdvanceedmRefsAssociationVector_hpsPFTauTransverseImpactParameters__RECO.
324  271      261     -9      -3.5     -0.00   doubleedmValueMap_muons_muPFMeanDRIsoValueNeutralHighThreshold03_RECO.                                                                                                                                                                                        
325  270      261     -10     -3.8     -0.00   doubleedmValueMap_muons_muPFSumDRIsoValueNeutralHighThreshold03_RECO.                                                                                                                                                                                         
326  261      261      0      -0.0     -0.00   recoBeamHaloSummary_BeamHaloSummary__RECO.                                                                                                                                                                                                                    
327  258      258      0      -0.2     -0.00   recoSingleTauDiscriminatorContaineredmValueMap_hpsPFTauDiscriminationByMuonRejection3__RECO.                                                                                                                                                                  
328  258      258      0       0.0      0.00   recoGenParticlesedmAssociation_muonSimClassifier_toPrimaries_RECO.                                                                                                                                                                                            
329  255      255      0       0.0      0.00   recoBeamSpot_onlineMetaDataDigis__RECO.                                                                                                                                                                                                                       
330  254      254      0       0.0      0.00   l1extraL1MuonParticles_l1extraParticles__RECO.                                                                                                                                                                                                                
331  252      252      0       0.0      0.00   recoBeamSpot_offlineBeamSpot__RECO.                                                                                                                                                                                                                           
332  248      249      1       0.4      0.00   recoCaloClusters_hybridSuperClusters_uncleanOnlyHybridBarrelBasicClusters_RECO.                                                                                                                                                                               
333  244      244      0       0.0      0.00   BeamSpotOnlines_scalersRawToDigi__RECO.                                                                                                                                                                                                                       
334  234      234      0       0.0      0.00   l1extraL1EtMissParticles_l1extraParticles_MHT_RECO.                                                                                                                                                                                                           
335  234      234      0       0.0      0.00   l1extraL1EtMissParticles_l1extraParticles_MET_RECO.                                                                                                                                                                                                           
336  229      229      0      -0.1     -0.00   recoTracksedmAssociation_lowPtGsfToTrackLinks__RECO.                                                                                                                                                                                                          
337  220      220      0       0.0      0.00   EEDigiCollection_selectDigi_selectedEcalEEDigiCollection_RECO.                                                                                                                                                                                                
338  218      219      1       0.4      0.00   recoPFCandidatesrecoPFCandidaterecoPFCandidatesrecoPFCandidateedmrefhelperFindUsingAdvanceedmRefsedmValueMap_particleBasedIsolation_gedPhotons_RECO.                                                                                                          
339  217      217      0      -0.2     -0.00   recoPFCandidatesrecoPFCandidaterecoPFCandidatesrecoPFCandidateedmrefhelperFindUsingAdvanceedmRefsedmValueMap_particleBasedIsolation_gedGsfElectrons_RECO.                                                                                                     
340  213      212     -1      -0.5     -0.00   recoBasicJets_ak8PFJetsPuppiSoftDrop__RECO.                                                                                                                                                                                                                   
341  208      208      0       0.0      0.00   TotemTriggerCounters_totemTriggerRawToDigi__RECO.                                                                                                                                                                                                             
342  207      204     -3      -1.4     -0.00   recoGsfElectronCores_gedGsfElectronCores__RECO.                                                                                                                                                                                                               
343  202      202     -1      -0.4     -0.00   recoGsfElectronCores_lowPtGsfElectronCores__RECO.                                                                                                                                                                                                             
344  200      194     -6      -3.0     -0.00   recoCaloClusters_particleFlowSuperClusterOOTECAL_particleFlowBasicClusterOOTECALBarrel_RECO.                                                                                                                                                                  
345  196      196      0       0.0      0.00   HGCRecHitsSorted_HGCalRecHit_HGCHFNoseRecHits_RECO.                                                                                                                                                                                                           
346  193      193      0       0.0      0.00   recoForwardProtons_ctppsProtons_singleRP_RECO.                                                                                                                                                                                                                
347  192      192      0       0.0      0.00   recoForwardProtons_ctppsProtons_multiRP_RECO.                                                                                                                                                                                                                 
348  186      186      0      -0.2     -0.00   recoPFCandidateedmPtredmValueMap_particleFlow_electrons_RECO.                                                                                                                                                                                                 
349  185      181     -4      -2.2     -0.00   recoPhotonCores_gedPhotonCore__RECO.                                                                                                                                                                                                                          
350  183      180     -3      -1.9     -0.00   recoPixelClusterTagInfos_pixelClusterTagInfos__RECO.                                                                                                                                                                                                          
351  179      179      0       0.0      0.00   recoPFCandidateedmPtredmValueMap_particleFlow_photons_RECO.                                                                                                                                                                                                   
352  177      168     -8      -4.8     -0.00   recoPFRecHits_particleFlowRecHitECAL_Cleaned_RECO.                                                                                                                                                                                                            
353  175      175      0       0.0      0.00   recoCaloClusters_particleFlowSuperClusterOOTECAL_particleFlowBasicClusterOOTECALPreshower_RECO.                                                                                                                                                               
354  173      173      0       0.0      0.00   HFRecHitsSorted_reducedHcalRecHits_hfreco_RECO.                                                                                                                                                                                                               
355  173      173      0       0.0      0.00   recoCaloClusters_particleFlowSuperClusterOOTECAL_particleFlowBasicClusterOOTECALEndcap_RECO.                                                                                                                                                                  
356  173      173      0       0.0      0.00   CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__RECO.                                                                                                                                                                                                       
357  171      171      0       0.0      0.00   recoCaloClusters_particleFlowSuperClusterECAL_particleFlowBasicClusterECALPreshower_RECO.                                                                                                                                                                     
358  170      170      0       0.0      0.00   l1extraL1EmParticles_l1extraParticles_NonIsolated_RECO.                                                                                                                                                                                                       
359  169      169      0       0.0      0.00   recoCaloClusters_particleFlowSuperClusterECAL_particleFlowBasicClusterECALEndcap_RECO.                                                                                                                                                                        
360  168      168      0       0.0      0.00   l1extraL1EmParticles_l1extraParticles_Isolated_RECO.                                                                                                                                                                                                          
361  168      168      0       0.0      0.00   l1extraL1JetParticles_l1extraParticles_Forward_RECO.                                                                                                                                                                                                          
362  168      168      0       0.0      0.00   l1extraL1JetParticles_l1extraParticles_IsoTau_RECO.                                                                                                                                                                                                           
363  168      168      0       0.0      0.00   l1extraL1JetParticles_l1extraParticles_Central_RECO.                                                                                                                                                                                                          
364  167      167      0      -0.2     -0.00   recoPFTauDiscriminator_hpsPFTauDiscriminationByDeadECALElectronRejection__RECO.                                                                                                                                                                               
365  165      165      0       0.0      0.00   l1extraL1JetParticles_l1extraParticles_Tau_RECO.                                                                                                                                                                                                              
366  165      164     -1      -0.4     -0.00   recoPFTauDiscriminator_hpsPFTauDiscriminationByDecayModeFindingOldDMs__RECO.                                                                                                                                                                                  
367  162      161     -1      -0.3     -0.00   recoPFTauDiscriminator_hpsPFTauDiscriminationByDecayModeFinding__RECO.                                                                                                                                                                                        
368  162      161      0      -0.3     -0.00   recoPFTauDiscriminator_hpsPFTauDiscriminationByDecayModeFindingNewDMs__RECO.                                                                                                                                                                                  
369  162      161      0      -0.2     -0.00   recoSuperClustersToOnerecoHFEMClusterShapesAssociation_hfEMClusters__RECO.                                                                                                                                                                                    
370  160      162      2       1.2      0.00   recoGsfElectronCores_uncleanedOnlyGsfElectronCores__RECO.                                                                                                                                                                                                     
371  159      159      0       0.0      0.00   recoCaloClusters_multi5x5SuperClusters_multi5x5EndcapBasicClusters_RECO.                                                                                                                                                                                      
372  158      158      0      -0.2     -0.00   recoPhotonCores_photonCore__RECO.                                                                                                                                                                                                                             
373  149      148     -1      -0.8     -0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfSimpleSecondaryVertexHighEffBJetTags__RECO.                                                                                                                                                                
374  148      148      0       0.2      0.00   recoTracksToOnerecoTracksAssociation_tevMuons_firstHit_RECO.                                                                                                                                                                                                  
375  147      147      0       0.2      0.00   recoTracksToOnerecoTracksAssociation_tevMuons_default_RECO.                                                                                                                                                                                                   
376  147      147      0       0.0      0.00   recoRecoEcalCandidates_hfRecoEcalCandidate__RECO.                                                                                                                                                                                                             
377  146      146      0       0.2      0.00   recoTracksToOnerecoTracksAssociation_tevMuons_picky_RECO.                                                                                                                                                                                                     
378  145      145      0       0.2      0.00   recoTracksToOnerecoTracksAssociation_tevMuons_dyt_RECO.                                                                                                                                                                                                       
379  145      145      0       0.0      0.00   recoCaloClusters_particleFlowEGamma_ESClusters_RECO.                                                                                                                                                                                                          
380  143      143      0       0.0      0.00   recoCaloClusters_hgcalLayerClusters_sharing_RECO.                                                                                                                                                                                                             
381  143      143      0       0.0      0.00   GlobalExtBlkBXVector_gtStage2Digis__RECO.                                                                                                                                                                                                                     
382  138      138      0       0.0      0.00   OnlineLuminosityRecord_onlineMetaDataDigis__RECO.                                                                                                                                                                                                             
383  138      138      0       0.0      0.00   HORecHitsSorted_reducedHcalRecHits_horeco_RECO.                                                                                                                                                                                                               
384  137      137      0       0.0      0.00   EcalRecHitsSorted_reducedEcalRecHitsEE__RECO.                                                                                                                                                                                                                 
385  134      134      0       0.2      0.00   recoPhotonCores_ootPhotonCore__RECO.                                                                                                                                                                                                                          
386  134      134      0       0.0      0.00   recoCaloClusters_hfEMClusters__RECO.                                                                                                                                                                                                                          
387  132      132      0       0.1      0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_pfSimpleInclusiveSecondaryVertexHighEffBJetTags__RECO.                                                                                                                                                       
388  128      128      1       0.5      0.00   ClusterSummary_clusterSummaryProducer__RECO.                                                                                                                                                                                                                  
389  119      119      0       0.0      0.00   CTPPSDiamondDigiedmDetSetVector_ctppsDiamondRawToDigi_TimingDiamond_RECO.                                                                                                                                                                                     
390  118      118      0       0.0      0.00   DcsStatuss_scalersRawToDigi__RECO.                                                                                                                                                                                                                            
391  118      118      0       0.0      0.00   CTPPSDiamondLocalTrackedmDetSetVector_ctppsDiamondLocalTracks__RECO.                                                                                                                                                                                          
392  118      118      0       0.0      0.00   TotemTimingLocalTrackedmDetSetVector_totemTimingLocalTracks__RECO.                                                                                                                                                                                            
393  118      118      0       0.0      0.00   TotemVFATStatusedmDetSetVector_ctppsDiamondRawToDigi_TimingDiamond_RECO.                                                                                                                                                                                      
394  117      117      0       0.0      0.00   TotemTimingDigiedmDetSetVector_totemTimingRawToDigi_TotemTiming_RECO.                                                                                                                                                                                         
395  116      116      0       0.0      0.00   CTPPSPixelLocalTrackedmDetSetVector_ctppsPixelLocalTracks__RECO.                                                                                                                                                                                              
396  115      115     -1      -0.5     -0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_softPFElectronBJetTags__RECO.                                                                                                                                                                                
397  114      114      0       0.0      0.00   TotemRPLocalTrackedmDetSetVector_totemRPLocalTrackFitter__RECO.                                                                                                                                                                                               
398  113      113      0       0.0      0.00   TotemRPDigiedmDetSetVector_totemRPRawToDigi_TrackingStrip_RECO.                                                                                                                                                                                               
399  113      113      0       0.0      0.00   TotemRPUVPatternedmDetSetVector_totemRPUVPatternFinder__RECO.                                                                                                                                                                                                 
400  113      113      0       0.0      0.00   recoJetedmRefToBaseProdTofloatsAssociationVector_softPFMuonBJetTags__RECO.                                                                                                                                                                                    
401  113      113      0       0.0      0.00   CTPPSDiamondRecHitedmDetSetVector_ctppsDiamondRecHits__RECO.                                                                                                                                                                                                  
402  112      112      0       0.0      0.00   TotemTimingRecHitedmDetSetVector_totemTimingRecHits__RECO.                                                                                                                                                                                                    
403  112      112      0       0.0      0.00   TotemRPClusteredmDetSetVector_totemRPClusterProducer__RECO.                                                                                                                                                                                                   
404  112      112      0       0.0      0.00   CTPPSPixelDataErroredmDetSetVector_ctppsPixelDigis__RECO.                                                                                                                                                                                                     
405  112      112      0       0.0      0.00   CTPPSPixelClusteredmDetSetVector_ctppsPixelClusters__RECO.                                                                                                                                                                                                    
406  111      111      0       0.0      0.00   TotemRPRecHitedmDetSetVector_totemRPRecHitProducer__RECO.                                                                                                                                                                                                     
407  111      111      0       0.0      0.00   CTPPSPixelRecHitedmDetSetVector_ctppsPixelRecHits__RECO.                                                                                                                                                                                                      
408  103      103      0       0.0      0.00   floatedmValueMap_ecalBarrelClusterFastTimer_PerfectResolutionModelResolution_RECO.                                                                                                                                                                            
409  99       99       0       0.0      0.00   recoPFRecHits_particleFlowRecHitHGC_Cleaned_RECO.                                                                                                                                                                                                             
410  99       99       0       0.0      0.00   recoPFRecHits_particleFlowRecHitHBHE_Cleaned_RECO.                                                                                                                                                                                                            
411  98       98       0       0.0      0.00   recoPFRecHits_particleFlowRecHitHF_Cleaned_RECO.                                                                                                                                                                                                              
412  98       98       0       0.0      0.00   recoPFRecHits_particleFlowRecHitHO_Cleaned_RECO.                                                                                                                                                                                                              
413  98       98       0       0.0      0.00   recoPFRecHits_particleFlowRecHitPS_Cleaned_RECO.                                                                                                                                                                                                              
414  96       96       0       0.0      0.00   DCSRecord_onlineMetaDataDigis__RECO.                                                                                                                                                                                                                          
415  89       87      -2      -2.1     -0.00   uintedmValueMap_muons_cosmicsVeto_RECO.                                                                                                                                                                                                                       
416  85       85       0       0.0      0.00   l1extraL1HFRingss_l1extraParticles__RECO.                                                                                                                                                                                                                     
417  84       84      -1      -0.8     -0.00   edmErrorSummaryEntrys_logErrorHarvester__RECO.                                                                                                                                                                                                                
418  81       83       3       3.5      0.00   booledmValueMap_muons_muidTMLastStationOptimizedLowPtLoose_RECO.                                                                                                                                                                                              
